,width,depth,slope,discharge,bankfull,source,site_id
1431,44.5121951219512,2.58940273972603,0.00035,158.6,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1432,13.4,1.08,0.00682,32.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1433,43.0,0.82,0.0021,45.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1434,12.012195121951198,0.967350253807107,0.00314,19.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1435,12.8963414634146,0.6715082742316779,0.00145,7.08,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1436,12.5,0.53,0.0095,17.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1437,41.0,1.75,0.00475,196.0,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1438,14.6,0.9,0.0007,13.1,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1439,479.0,5.82,0.00074,7782.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1441,58.841463414634106,1.42807461139896,0.00052,79.58,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1443,12.3,1.32,0.0018899999999999,28.0,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1444,14.6,1.45,0.0007,26.8,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1445,46.341463414634106,1.57051578947368,0.00085,94.31,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1446,74.0,1.46,0.0026,98.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1447,14.1158536585366,0.7310928725701942,0.01045,13.99,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1450,47.5609756097561,1.84878461538462,0.00084,129.71,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1452,109.0,1.92,0.0012,413.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1453,14.4512195121951,0.484388185654008,0.01103,6.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1455,11.1890243902439,0.8642397820163491,0.00296,16.48,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1456,14.6,1.6,0.0007,29.8,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1458,120.121951219512,1.58630456852792,0.0008699999999999,231.66,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1459,19.5074372104365,0.7467600000000001,0.0069999999999999,22.6536,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1460,46.0365853658537,1.53855894039735,0.00084,88.93,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
