,width,depth,velocity,d50,d84,slope,discharge,river_class,bankfull,source,DOI,primary_source,site_id,notes,area,sed_discharge,d90,bedload_discharge,erosion_rate
23,59.7,2.06,1.13,0.051,0.11220000000000001,0.001,213.0,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Griffiths,Griffiths,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
24,64.0,1.17,1.28,0.102,0.22440000000000002,0.00088,145.0,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Griffiths,Griffiths,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
25,14.6,0.61,0.72,0.0013,0.013,0.0007,9.68,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
26,14.6,0.61,0.73,0.0013,0.013,0.0007,9.77,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
27,14.6,0.61,0.72,0.0013,0.013,0.0007,9.58,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
28,14.6,0.6,0.72,0.0013,0.013,0.0007,9.35,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
29,14.6,0.55,0.69,0.0013,0.013,0.0007,8.08,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
30,14.6,0.55,0.69,0.0013,0.013,0.0007,7.99,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
31,2.98,0.26,1.67,0.02,0.09,0.018000000000000002,1.85,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
32,299.0,2.16,1.22,0.041,0.0902,0.0006900000000000001,1121.0,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
33,14.6,0.49,0.66,0.0013,0.013,0.0007,6.7,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
34,14.6,0.49,0.66,0.0013,0.013,0.0007,6.62,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
35,14.6,0.47,0.65,0.0013,0.013,0.0007,6.21,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
36,3.6,0.3,1.0,0.065,0.14,0.05,1.5,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
37,57.0,0.88,2.37,0.057,0.1254,0.0042,164.0,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
38,14.6,0.46,0.64,0.0013,0.013,0.0007,5.9,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
39,2.6,0.2,0.41,0.05,0.16,0.10400000000000001,0.29,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
40,29.0,1.43,1.41,0.001,0.0022,0.0008,79.3,1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
41,0.92,0.07,0.23,0.05,0.09,0.18100000000000002,0.02,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
42,3.63,0.18,0.73,0.06,0.13,0.14,0.64,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
43,1.15,0.13,0.6,0.03,0.09,0.163,0.12,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
44,14.6,0.39,0.59,0.0013,0.013,0.0007,4.49,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
45,11.5,1.1,3.0,0.19,0.58,0.05,50.6,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
46,3.54,0.17,0.6,0.06,0.13,0.124,0.48,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
47,3.03,0.15,0.5,0.06,0.13,0.131,0.3,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
48,14.6,0.37,0.56,0.0013,0.013,0.0007,3.97,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
49,5.8,0.4,3.0,0.198,0.222,0.05,9.1,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
50,3.5,0.5,1.4,0.28,0.59,0.19,3.2,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
51,1.28,0.06,0.2,0.03,0.08,0.057999999999999996,0.02,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
52,14.6,0.4,0.6,0.0013,0.013,0.0007,4.54,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
53,2.48,0.18,0.45,0.07,0.17,0.121,0.26,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
54,3.02,0.25,0.73,0.08,0.17,0.099,0.71,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
55,2.6,0.3,1.9,0.12,0.214,0.046,1.9,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
56,1.07,0.12,0.61,0.05,0.09,0.195,0.1,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
57,3.16,0.23,0.62,0.07,0.17,0.099,0.57,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
58,2.93,0.23,0.54,0.08,0.17,0.09300000000000001,0.46,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
59,14.6,0.34,0.55,0.0013,0.013,0.0007,3.43,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
60,23.0,0.6,2.8,0.64,1.19,0.15,48.5,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
61,2.32,0.17,0.33,0.07,0.17,0.102,0.16,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
62,3.03,0.21,0.55,0.07,0.17,0.086,0.43,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
63,23.5,1.1,1.5,0.21,0.52,0.045,47.5,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
64,18.5,1.2,1.6,0.55,1.12,0.24,43.3,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
65,1.97,0.16,0.86,0.03,0.08,0.062,0.33,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
66,2.41,0.14,0.39,0.06,0.13,0.131,0.16,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
67,2.0,0.27,2.3,0.024,0.0528,0.0369,1.51,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
68,2.28,0.17,0.34,0.06,0.15,0.095,0.16,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
69,11.4,0.9,1.8,0.275,0.695,0.15,22.4,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
70,14.6,0.29,0.52,0.0013,0.013,0.0007,2.67,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
71,1.41,0.1,0.41,0.03,0.08,0.073,0.07,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
72,14.6,0.3,0.53,0.0013,0.013,0.0007,2.79,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
73,1.63,0.1,0.41,0.03,0.08,0.06,0.08,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
74,2.73,0.18,0.46,0.07,0.17,0.091,0.27,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
75,0.91,0.08,0.23,0.03,0.09,0.159,0.02,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
76,14.7,1.3,1.9,0.21,0.68,0.05,43.2,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
77,1.25,0.09,0.15,0.05,0.1,0.132,0.02,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
78,13.0,1.4,2.3,0.43,0.91,0.1,49.4,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
79,26.3,0.7,2.2,0.65,1.26,0.17,47.7,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
80,7.2,0.4,2.3,0.15,0.164,0.016,7.8,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
81,2.0,0.2,1.5,0.049,0.10779999999999999,0.026000000000000002,0.7,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
82,2.71,0.18,0.51,0.08,0.17,0.094,0.29,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
83,14.6,0.25,0.49,0.0013,0.013,0.0007,2.08,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Leopold and Emmett,East-Fork 79,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
84,0.91,0.07,0.27,0.05,0.09,0.185,0.02,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,Fool Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
85,16.7,1.3,1.9,0.45,1.35,0.2,47.9,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
86,6.0,0.24,0.42,0.052,0.1144,0.011000000000000001,0.7,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
87,2.85,0.24,1.43,0.02,0.09,0.02,1.13,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
88,2.7,0.5,1.8,0.142,0.235,0.02,2.8,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
89,38.0,1.7,2.4,0.49,1.02,0.028999999999999998,178.5,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
90,11.8,0.6,1.8,0.3,1.0,0.14,14.6,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
91,2.58,0.16,0.36,0.07,0.17,0.08199999999999999,0.17,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
92,2.2,0.4,1.3,0.038,0.235,0.08,1.3,0.0,True,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Wohl & Wilcox,Wohl & Wilcox,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
93,2.46,0.15,0.43,0.08,0.17,0.083,0.18,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
94,2.01,0.12,0.22,0.05,0.16,0.086,0.06,-1.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,David & wohl,East Saint Louis Creek,"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
95,7.0,0.24,0.24,0.143,0.31460000000000005,0.027999999999999997,0.45,0.0,False,"Rickenmann and Recking, 2011",https://doi.org/10.1029/2010WR009793,Church & Rood (in Wargadalam),Church & Rood (in Wargadalam),"Removed data associated with Ryan, 2002 and Williams, 1989 because I got that data from the original source.",,,,,
