Avulsion Name,source,geometry,num_icesat_measurements,num_fabdem_measurements,method_used,dist_mtn_front_to_avulsion_m,total_transport_distance_m,normalized_distance,geomorphology,sar1,sar2,sar3,sar_mean,sar1_distance_m,sar2_distance_m,sar3_distance_m,sm1,sm2,sm3,are1_m,fpe1_m,wse1_m,are2_m,fpe2_m,wse2_m,are3_m,fpe3_m,wse3_m,width_m,discharge_min_cms,discharge_mean_cms,discharge_max_cms,se_1,se_2,se_3,se_std,sm_mean,gamma,spr,gamma_error_upper,gamma_error_lower,corrected_discharge,xgb_depth,har1_m,har2_m,har3_m,a,b,a1,b1,a2,b2,a3,b3,a_over_b,beta,beta_sem,lambda,ab_flag,beta_uncertainty,sar_mean_error,sm_mean_error,log_gamma,log_sar_mean_SE,log_sm_mean_SE,log_gamma_error,yerr_upper_relative,yerr_lower_relative,se_max1,se_max2,se_max3
B14,valenza et. al. 2020,POINT (-66.5308 -14.677),2,1,1,168842,3422722.0,0.049329744,Alluvial Plain,0.002,0.00209,0.0034,0.0024666666666666,1435.4857000000009,2057.416267942576,2058.823529411765,0.00108,0.00043,0.00022,206.2709714,203.4,204.15,206.1,201.8,203.5,186.6,179.6,184.3,110.0,13.4,66.0,162.0,1.193285976784219,1.868274495669898,1.147654333054362,0.5596450234946646,0.0005766666666666,4.277456647398845,85.54290867052023,2.669342625674269,1.6436342709128555,780.984457451982,3.7467728,2.870971400000002,4.299999999999983,7.0,2.340323799999993,3.7467728,2.120971400000002,3.7467728,2.5999999999999943,3.7467728,2.299999999999983,3.7467728,0.6246238953070352,1.2709835716037459,0.1077037349884263,5.392704566380614,False,0.4889203825238491,0.0004524132820527,0.0002588650442047,1.4533585917004368,0.1834107900214015,0.4488989205862179,0.4849224255484028,0.624049019245471,1.6436342709128555,0.7662518063453865,1.1476543330543616,1.8682744956698984
B2,valenza et. al. 2020,POINT (-64.1351 -17.4241),0,3,3,13062,3639791.0,0.003588668,Alluvial Plain,0.005,0.00126,0.00798,0.0059933333333333,739.9999999999977,2976.190476190476,641.6040100250633,0.00459,0.00324,0.0056,289.7,286.0,284.7,288.0,284.25,283.0,290.9,285.78,285.9,60.0,2.826,11.906,28.769,0.6038662256477557,0.6120265800484029,0.8356202906260869,0.1315108901877342,0.0044766666666666,1.3387937453462395,0.8016384214445271,0.5772902231452046,0.4033604751700036,119.46178452422232,1.1271849,3.6999999999999886,3.75,5.1200000000000045,5.0,1.1271849,5.0,1.1271849,5.0,1.1271849,5.0,1.1271849,4.43582959865103,0.6857356770234938,0.0253092826170852,0.9155176339507066,True,0.12496894914929106,0.0019440278918895,0.0006836259536065,0.2917690185083277,0.3243650542641038,0.152708701475771,0.3585144849712089,0.4312017628943325,0.4033604751700036,0.6038662256477557,0.6120265800484029,0.8356202906260869
B4,valenza et. al. 2020,POINT (-64.855 -17.216),0,3,2,7101,3255674.0,0.002181115,Fan,0.0029,0.00228,0.00127,0.0023566666666666,1206.896551724138,846.491228070166,2755.905511811024,0.00444,0.00343,0.00423,251.9,248.4,249.4,254.2,252.27,251.7,257.0,253.5,254.5,200.0,4.6,30.6,75.0,0.5776892430278908,0.7719999999999914,1.4,0.3625759690510899,0.0040333333333333,0.584297520661157,0.5407723140495868,0.1405230772638787,0.1132794596014675,338.30175172219845,1.7716706,3.5,1.9299999999999784,3.5,2.5,1.7716707,2.5,1.7716706,2.5,1.7716706,2.5,1.7716706,1.4110974467446888,1.1925625597511396,0.0697777777777787,0.6957035812672159,True,0.31558729819463094,0.0004750087718488,0.0003076975426905,-0.5373449726942141,0.201559592015062,0.0762886469480602,0.2155138668077857,0.2404991845676,0.1132794596014675,1.4,0.7719999999999914,1.4
B6,valenza et. al. 2020,POINT (-65.3985 -16.9729),0,3,3,3395,3549053.0,0.000956593,Fan,0.0052,0.0046,0.004,0.0048,1923.076923076923,1652.1739130434833,3109.9999999999995,0.00352,0.0033,0.00332,258.0,248.0,255.7,262.3,254.7,261.0,253.44,241.0,250.8,1400.0,22.937,150.4,372.27,4.166666664079639,5.428571422793399,4.540145982932378,0.6482270929064117,0.0033799999999999,1.4201183431952662,0.2830156804733728,0.1107592958036316,0.1027458391468745,1928.3774504418627,0.1,10.0,7.600000000000023,12.439999999999998,2.080000000000003,0.1,2.300000000000012,0.1,1.3000000000000114,0.1,2.6399999999999864,0.1,20.799999690055884,5.016088204102643,0.1247513621951751,6.691306068546942,True,1.7375635976898143,0.0003464101615137,7.023769168568496e-05,0.3507402084189177,0.0721687836487032,0.020780382155528,0.0751009827889297,0.0779930041283906,0.1027458391468745,4.16666666407964,5.428571422793399,4.540145982932378
B9,valenza et. al. 2020,POINT (-65.8384 -16.3225),0,3,3,57327,3491013.0,0.016421308,Alluvial Plain,0.0015,0.00289,0.00335,0.0021166666666666,4919.999999999997,3439.446366782006,2298.5074626865635,0.00046,0.00084,0.00092,231.6,224.22,224.0,228.09,218.15,220.49,229.0,221.3,221.4,159.0,10.0,64.0,152.0,0.6993321936755099,0.9419189708854432,0.7296555408267509,0.1321764058621645,0.0007399999999999,2.8603603603603607,22.19095675675676,1.0994555736451068,0.7941882130997548,728.7543832638571,2.9529247,7.3799999999999955,9.939999999999998,7.699999999999989,7.599999999999994,2.9529247,7.599999999999994,2.9529247,7.599999999999994,2.9529247,7.599999999999994,2.9529247,2.5737195150702448,0.7897472215077628,0.0254373611683459,2.2605491860678564,True,0.11455304042004555,0.0005560875230872,0.0001418919776919,1.0509476170204115,0.2627185148443789,0.1917459157999348,0.3252499258539374,0.3843765942507302,0.7941882130997548,0.6993321936755099,0.9419189708854432,0.7296555408267509
BETSIBOKA_2004,brooke et. al. 2022,"POINT (46.93067, -16.79922)",0,3,2,3739,1773360.0,0.002108427,Fan,0.00268,0.00162,0.00283,0.00273,1305.9701492537313,1987.6543209876536,1060.070671378092,0.00123,0.0015,0.0015,44.0,40.5,41.0,43.72,40.5,40.72,43.5,40.5,40.5,1000.0,49.144,331.6,1027.6,1.166666666666667,1.073333333333333,1.0,0.0835330939076111,0.0014099999999999,1.9361702127659577,1.4953382978723406,0.3209976810348032,0.2753477710246912,5810.870603788062,2.4348886,3.5,3.219999999999999,3.0,3.0,2.4348886,3.0,2.4348886,3.0,2.4348886,3.0,2.4348886,1.2320892209994592,1.0819438500082514,0.0160759514179338,2.091063829787234,True,0.1126811707363461,0.0003808032446173,9.000000000000002e-05,0.6607119048067913,0.139488367991708,0.0638297872340425,0.1533989782995092,0.1657900110839093,0.2753477710246912,1.1666666666666667,1.073333333333333,1.0
BS0115_1995,brooke et. al. 2022,POINT (49.3618479181036 39.3320648834311),3,0,1,394459,398745.0,0.989251276,Delta,0.0015,0.00083,0.0047,0.0025666666666666,866.6666666666695,1879.5180722891507,312.7659574468083,0.00044,0.00014,2e-05,-35.3,-36.6,-37.37,-35.6,-37.16,-37.7,-35.4,-36.87,-37.45,130.0,203.0,703.0,1890.0,0.1157643763363364,0.1389172516036028,0.1309027947803183,0.0117576844680332,0.0002,12.833333333333334,4946.25638,15.127099446442871,6.943065262677137,11265.067313818568,11.229707,1.3000000000000045,1.5599999999999952,1.4699999999999989,2.0733333333333355,11.229707,2.0700000000000003,11.229707,2.1000000000000014,11.229707,2.0500000000000043,11.229707,0.1846293386697463,0.12884117710040216,0.0022627674308885,1.6494444749699904,False,0.024321667695494802,0.0011941012426832,0.0001248999599679,2.5520459526256296,0.4652342503960871,0.6244997998398398,0.778744443152957,1.178735021800743,6.943065262677137,0.1157643763363363,0.1389172516036027,0.1309027947803183
CA0067_1986,brooke et. al. 2022,POINT (-88.3129189699068 15.6817041034841),1,2,1,144786,156089.0,0.927586185,Delta,0.003,0.005,0.002,0.0026666666666666,963.6666666666666,400.0,1360.0,0.00017,0.00048,0.00048,6.091,3.2,2.091,3.5,1.5,0.1,6.2,3.48,2.2,97.0,129.62,309.492,622.725,0.254480685191433,0.1760502837713131,0.2394283859289858,0.0416226769384106,0.0003766666666666,7.079646017699115,2462.618190265487,3.800243862229968,2.472854194522164,3372.3068210756232,11.360391,2.891,2.0,2.72,3.8,11.360391,4.0,11.360391,3.4,11.360391,4.0,11.360391,0.3344955391654948,0.22361534826642204,0.0080102879115947,1.5810250262931729,False,0.04119553015944388,0.0008819171036881,0.0001033333333333,1.9572239089555872,0.3307189138830739,0.2743362831858407,0.4296922110909411,0.5367844455399828,2.472854194522164,0.254480685191433,0.176050283771313,0.2394283859289858
CA0194_2007,brooke et. al. 2022,POINT (-91.7773631931101 14.2030613238809),0,3,1,67618,69590.0,0.971662595,Delta,0.00175,0.00244,0.0044,0.0026333333333333,857.1428571428571,1434.426229508197,886.3636363636364,0.00183,0.0024,0.00178,6.0,4.5,5.0,7.0,3.5,6.0,8.3,4.4,7.3,75.0,13.93,72.2,154.0,0.2976984481718116,0.6946297124008939,0.2976984481718116,0.255191099222979,0.0020033333333333,1.3144758735440931,485.0229259567388,0.4909194310713296,0.3574296146376176,739.1772747008723,5.0386558,1.5,3.5,3.9,1.0000000000000002,5.0386558,1.0,5.0386558,1.0,5.0386558,1.0000000000000009,5.0386558,0.1984656321145411,0.5938394390305372,0.0491115499437278,0.7739389125886516,False,0.22080426625840463,0.0007937323926306,0.0001988578498436,0.2734380109258598,0.3014173642901047,0.0992634857788662,0.3173415622079227,0.3734716178150241,0.3574296146376176,0.2976984481718116,0.6946297124008939,0.7740159652467103
CA0318-1_2002,brooke et. al. 2022,POINT (-111.414580827171 26.2184921970802),0,3,3,14514,18893.0,0.768221034,Delta,0.0094,0.015,0.025,0.0146,117.02127659574482,66.66666666666667,40.0,0.00245,0.00268,0.00273,-30.2,-31.3,-34.4,-29.9,-30.9,-34.3,-30.2,-31.2,-34.09,140.0,0.001,0.424,1.315,0.3658536584036184,0.5487804876054276,0.5439024388267129,0.0180836950551166,0.0026199999999999,5.572519083969468,293.21413511450385,2.057461366475718,1.5026568945595231,4.1831534325483135,0.1,1.1000000000000014,1.0,1.0,4.163333333333334,0.1,4.199999999999999,0.1,4.399999999999999,0.1,3.890000000000004,0.1,41.63333271294834,0.2450451102957706,0.0034802087360049,1.353495678284183,True,0.06557742733097308,0.0045626503019383,8.621678104251708e-05,1.7178472109412857,0.3125102946533091,0.0329071683368385,0.3142380721558848,0.3692156698744095,1.5026568945595231,0.255813953399723,0.2222222221486363,0.2506265663224402
